country,state,city,station,last_update,latitude,longitude,pollutant_id,min_value,max_value,avg_value
India,Karnataka,Davanagere,"Devaraj Urs Badavane, Davanagere - KSPCB",08-12-2025 08:00:00,14.475800,75.905200,NH3,2,4,2
India,Karnataka,Davanagere,"Devaraj Urs Badavane, Davanagere - KSPCB",08-12-2025 08:00:00,14.475800,75.905200,CO,41,46,42
India,Karnataka,Davanagere,"Devaraj Urs Badavane, Davanagere - KSPCB",08-12-2025 08:00:00,14.475800,75.905200,OZONE,19,21,20
India,Karnataka,Dharwad,"Kalabhavan, Dharwad - KSPCB",08-12-2025 08:00:00,15.459706,75.008381,SO2,2,4,3
India,Karnataka,Dharwad,"Kalabhavan, Dharwad - KSPCB",08-12-2025 08:00:00,15.459706,75.008381,OZONE,32,32,32
India,Karnataka,Hubballi,"Lingaraj Nagar, Hubballi - KSPCB",08-12-2025 08:00:00,15.3714823,75.1160168,PM2.5,37,44,41
India,Karnataka,Hubballi,"Lingaraj Nagar, Hubballi - KSPCB",08-12-2025 08:00:00,15.3714823,75.1160168,OZONE,17,24,17
India,Karnataka,Kalaburagi,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB",08-12-2025 08:00:00,17.321993,76.822628,NO2,NA,NA,NA
India,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",08-12-2025 08:00:00,12.9352049,77.6814488,CO,105,109,106
India,Karnataka,Bengaluru,"City Railway Station, Bengaluru - KSPCB",08-12-2025 08:00:00,12.9756843,77.5660749,CO,85,88,87
India,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB",08-12-2025 08:00:00,13.029152,77.585901,PM10,72,123,95
India,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB",08-12-2025 08:00:00,12.938539,77.590100,OZONE,20,51,29
India,Karnataka,Bengaluru,"Jayanagar 5th Block, Bengaluru - KSPCB",08-12-2025 08:00:00,12.920984,77.584908,NH3,1,2,1
India,Karnataka,Bengaluru,"Jigani, Bengaluru - KSPCB",08-12-2025 08:00:00,12.7816279,77.6299145,PM2.5,NA,NA,NA
